Gene	Flk_Sp1WT	HE1_Sp1WT	HE2_Sp1WT	HP_Sp1WT
1700092M07Rik	0	0	0	0
1700094D03Rik	0	0	0	0
1700094J05Rik	0	0	0	0
1700095A21Rik	0	0	0	0
1700095J12Rik	0	0	0	0
1700096K18Rik	1	1	1	1
1700097N02Rik	0	0	0	0
1700099I09Rik	0	0	0	0
1700100L14Rik	0	0	0	0
1700101I11Rik	1	0	1	1
1700102P08Rik	1	0	0	0
1700105P06Rik	1	1	1	1
1700108J01Rik	0	0	0	0
1700109H08Rik	0	0	0	0
1700109K24Rik	0	0	0	0
1700110I01Rik	0	0	0	0
1700112E06Rik	0	0	1	1
1700112J16Rik	0	1	0	0
1700113A16Rik	0	0	0	0
1700120C14Rik	0	0	0	0
1700120K04Rik	0	0	0	0
1700123M08Rik	0	0	0	0
1700123O20Rik	0	0	1	0
1700124L16Rik	0	0	0	0
1700125H03Rik	0	0	0	0
1810009A15Rik	1	1	1	1
1810010H24Rik	1	1	1	1
1810011O10Rik	1	1	1	1
1810012K16Rik	0	0	0	0
1810013L24Rik	1	1	1	1
1810014B01Rik	1	0	1	1
1810019D21Rik	0	0	0	0
1810022K09Rik	1	1	1	1
1810026B05Rik	1	1	1	1
1810030O07Rik	1	1	1	1
1810032O08Rik	1	1	1	1
1810034E14Rik	1	1	1	1
1810037I17Rik	1	1	1	1
1810041H14Rik	0	0	0	0
1810043G02Rik	1	1	1	1
1810044D09Rik	0	0	0	1
1810055G02Rik	1	1	1	1
1810058I24Rik	1	1	1	1
1810062G17Rik	0	0	0	0
1810062O18Rik	1	1	1	1
1810063I02Rik	0	0	0	0
2010001A14Rik	0	0	0	0
2010009K17Rik	0	0	0	0
2010010A06Rik	0	1	0	0
2010106C02Rik	0	0	0	0
2010107E04Rik	1	1	1	1
2010107G23Rik	1	0	1	0
2010111I01Rik	1	1	1	1
2010204K13Rik	0	1	1	0
2010315B03Rik	1	1	1	1
2010320M18Rik	1	0	0	0
2200002D01Rik	1	1	0	0
2210011C24Rik	1	0	1	1
2210013O21Rik	1	1	1	1
2210016F16Rik	0	0	0	1
2210016L21Rik	1	1	1	1
2210406O10Rik	0	0	0	0
2210408F21Rik	1	1	1	1
2210408I21Rik	0	0	0	0
2210409E12Rik	0	0	0	0
2210418O10Rik	1	1	1	0
2300009A05Rik	1	1	1	1
2310009A05Rik	0	0	0	0
2310009B15Rik	1	1	1	1
2310010J17Rik	0	1	1	0
2310011J03Rik	1	0	1	0
2310015A10Rik	1	1	1	1
2310022A10Rik	0	0	1	0
2310022B05Rik	1	1	1	1
2310030G06Rik	1	0	0	0
2310033P09Rik	1	1	1	1
2310034G01Rik	1	1	0	1
2310035C23Rik	0	0	0	1
2310036O22Rik	1	1	1	1
2310039H08Rik	1	1	1	1
2310039L15Rik	0	0	0	0
2310040G24Rik	1	1	1	0
2310045n01rik-mef2b	0	0	0	0
2310057M21Rik	1	1	1	1
2310061I04Rik	1	1	1	1
2310068J16Rik	1	0	0	1
2400006E01Rik	0	0	0	0
2410002F23Rik	1	1	1	1
2410003L11Rik	1	1	1	1
2410004B18Rik	1	1	1	1
2410004I01Rik	1	0	0	0
2410006H16Rik	1	1	1	0
2410015M20Rik	1	1	1	1
2410021H03Rik	0	0	0	0
2410089E03Rik	1	1	1	1
2410124H12Rik	1	0	0	0
2410131K14Rik	1	0	0	0
2410137M14Rik	0	0	0	0
2410141K09Rik	0	0	0	0
2500002B13Rik	1	1	1	0
2500004C02Rik	0	0	0	0
2510002D24Rik	1	1	1	1
2510003B16Rik	1	0	1	1
2510009E07Rik	1	1	1	1
2510039O18Rik	1	0	1	1
2610001J05Rik	0	1	1	1
2610002M06Rik	1	1	1	1
2610005L07Rik	0	0	0	0
2610008E11Rik	1	1	1	1
2610020C07Rik	1	1	1	0
2610020H08Rik	1	1	1	1
2610027K06Rik	0	0	0	0
2610035D17Rik	1	1	1	1
2610035F20Rik	1	1	1	1
2610037D02Rik	0	0	0	0
2610042L04Rik	1	1	1	1
2610044O15Rik8	1	1	1	1
2610301B20Rik	1	1	1	1
2610306M01Rik	1	0	1	1
2610307P16Rik	1	0	0	0
2610318N02Rik	1	1	1	1
2610507B11Rik	1	1	1	1
2610524H06Rik	1	1	1	1
2610528J11Rik	0	0	0	0
2700038G22Rik	1	1	1	1
2700046A07Rik	1	1	1	0
2700046G09Rik	0	0	1	1
2700049A03Rik	1	1	1	1
2700060E02Rik	1	1	1	1
2700062C07Rik	0	0	0	0
2700081O15Rik	1	1	1	1
2700097O09Rik	0	0	0	0
2700099C18Rik	1	0	1	1
2810001G20Rik	1	1	1	1
2810002D19Rik	0	0	0	0
2810004N23Rik	0	0	0	0
2810006K23Rik	0	0	0	0
2810013P06Rik	0	0	0	0
2810021J22Rik	1	0	1	1
2810025M15Rik	1	1	1	1
2810403A07Rik	1	1	1	1
2810408A11Rik	1	0	1	1
2810408I11Rik	1	1	1	1
2810410L24Rik	0	0	0	0
2810428I15Rik	0	0	0	0
2810429I04Rik	1	0	0	0
2810454H06Rik	0	0	0	0
2810468N07Rik	1	1	1	1
2810474O19Rik	1	1	1	1
2900009J06Rik	0	0	0	0
2900011O08Rik	0	0	0	0
2900026A02Rik	1	1	1	1
2900041M22Rik	0	0	0	0
2900060B14Rik	1	1	1	1
2900076A07Rik	1	1	1	1
2900097C17Rik	1	1	1	1
3000002C10Rik	0	0	0	0
3010003L21Rik	1	1	0	1
3110002H16Rik	1	1	1	1
3110009E18Rik	0	0	0	0
3110021A11Rik	0	1	1	1
3110040N11Rik	1	1	1	1
3110043O21Rik	1	1	0	1
3110056K07Rik	0	1	0	0
3110062M04Rik	1	1	1	1
3110082I17Rik	1	1	1	1
3300002I08Rik	1	1	1	1
3632451O06Rik	1	1	1	1
3830406C13Rik	1	1	1	1
3830408C21Rik	0	0	0	0
3830417A13Rik	0	0	0	0
3830432H09Rik	0	0	0	0
4631405J19Rik	0	0	0	0
4632404H12Rik	1	1	1	1
4632415L05Rik	1	1	1	1
4632427E13Rik	0	0	0	1
4732416N19Rik	1	1	1	1
4732471J01Rik	1	0	0	0
4833412C05Rik	1	1	1	1
4833417C18Rik	1	1	1	1
4833420G17Rik	1	1	1	1
4833422C13Rik	0	0	0	0
4833439L19Rik	1	1	1	1
4921511C10Rik	0	0	0	0
4921524J17Rik	1	1	1	1
4921531C22Rik	1	1	1	1
4930402H24Rik	1	0	1	1
4930404I05Rik	1	1	1	0
4930404N11Rik	1	1	0	0
4930405A21Rik	0	0	0	0
4930405J17Rik	0	0	0	0
4930405O22Rik	0	0	0	0
4930412O13Rik	0	0	0	0
4930413G21Rik	1	1	1	1
4930414N06Rik	0	0	0	0
4930415F15Rik	0	0	0	0
4930427A07Rik	0	0	0	0
4930429B21Rik	1	0	0	0
4930430F08Rik	1	1	1	1
4930432K21Rik	0	1	1	0
4930444G20Rik	0	0	0	0
4930444M15Rik	1	1	1	1
4930447C04Rik	0	0	0	0
4930451G09Rik	1	0	1	1
4930452B06Rik	1	1	1	1
4930453N24Rik	1	1	1	1
4930455C13Rik	0	0	0	0
4930461G14Rik	1	1	1	0
4930465K10Rik	0	1	0	0
4930469G21Rik	0	0	0	0
4930473A02Rik	1	1	1	0
4930478L05Rik	0	0	0	0
4930480K23Rik	0	0	0	0
4930483K19Rik	0	0	0	0
4930486L24Rik	0	0	0	0
4930487H11Rik	0	0	0	0
4930502E09Rik	0	0	0	0
4930502E18Rik	0	0	0	0
4930503L19Rik	0	0	0	0
4930507D05Rik	0	0	0	0
4930509E16Rik	1	0	1	1
4930511A08Rik	0	0	0	0
4930512B01Rik	0	0	0	0
4930513N10Rik	0	0	0	0
4930515G01Rik	1	1	1	1
4930519F16Rik	0	0	0	0
4930520O04Rik	1	0	1	1
4930521E06Rik	0	0	0	0
4930524B15Rik	0	0	0	0
4930526I15Rik	1	1	1	1
4930526L06Rik	0	0	0	0
4930528A17Rik	1	0	0	1
4930539E08Rik	0	0	0	0
4930539J05Rik	1	1	1	1
4930544G11Rik	0	0	0	0
4930548H24Rik	0	0	0	0
4930549C15Rik	0	0	0	0
4930549G23Rik	0	0	0	0
4930550C14Rik	1	1	1	1
4930556M19Rik	0	0	0	0
4930556N13Rik	0	0	0	0
4930557K07Rik	0	0	0	0
4930558J18Rik	0	0	0	0
4930563E22Rik	1	1	1	1
4930563F08Rik	0	0	0	0
4930563M21Rik	0	0	0	0
4930564C03Rik	0	0	0	0
4930565N06Rik	0	0	0	0
4930577N17Rik	1	1	1	1
4930579G18Rik	0	0	0	0
4930579G24Rik	0	0	0	0
4930579J19Rik	0	0	0	0
4930581F22Rik	0	0	0	0
4930591A17Rik	0	0	0	0
4930592I03Rik	0	0	0	0
4930594C11Rik	0	0	0	0
4930596I21Rik	0	0	0	0
4931403E22Rik	0	0	0	0
4931403G20Rik	0	0	0	0
4931406C07Rik	1	1	1	1
4931406H21Rik	0	1	1	0
4931406P16Rik	0	0	0	0
4931414P19Rik	1	0	0	0
4931428F04Rik	1	1	1	1
4931440P22Rik	0	0	0	0
4932413F04Rik	0	0	0	0
4932416H05Rik	1	0	1	1
4932438A13Rik	1	1	1	1
4932441J04Rik	0	1	1	1
4933400F21Rik	0	0	0	0
4933401H06Rik	0	0	0	0
4933402D24Rik	0	0	0	0
4933402E13Rik	0	0	0	0
4933403O08Rik	0	0	0	0
4933404O12Rik	1	1	1	1
4933405L10Rik	0	0	0	1
4933406J10Rik	0	0	0	0
4933407K13Rik	1	1	1	1
4933408B17Rik	0	0	0	0
4933412E12Rik	0	0	0	0
4933413G19Rik	1	1	1	0
4933413J09Rik	1	0	0	0
4933416M07Rik	0	0	0	0
4933417D19Rik	0	0	0	1
4933417G07Rik	0	0	0	0
4933421O10Rik	1	0	0	0
4933427D06Rik	0	0	0	0
4933427D14Rik	0	0	0	0
4933428G20Rik	1	0	0	1
4933430I17Rik	0	1	0	0
4933431G14Rik	0	0	0	0
4933433G15Rik	0	0	0	0
4933433G19Rik	0	0	0	0
4933434E20Rik	0	0	0	0
4933438K21Rik	0	0	0	0
4933439C10Rik	0	0	0	0
5031425E22Rik	1	1	1	1
5031439G07Rik	1	1	1	1
5033406O09Rik	1	1	1	1
5033428I22Rik	1	1	0	0
5430405H02Rik	0	1	0	0
5430416N02Rik	1	1	1	1
5430428K19Rik	0	0	0	0
5530601H04Rik	1	0	1	1
5730405O15Rik	1	1	1	1
5730408K05Rik	0	0	0	0
5730409E04Rik	1	0	1	0
5730416F02Rik	0	0	0	0
5730420D15Rik	1	0	1	0
5730455P16Rik	1	1	1	1
5730460C07Rik	0	1	1	1
5730480H06Rik	0	0	0	0
5730507C01Rik	0	0	0	0
5730508B09Rik	1	1	1	1
5730559C18Rik	1	1	1	1
5830417I10Rik	0	0	0	0
5830418P13Rik	0	0	0	0
5830432E09Rik	0	0	0	0
5830454E08Rik	1	1	1	1
5930412G12Rik	1	1	1	1
6030419C18Rik	1	1	1	1
6030443J06Rik	0	0	0	0
6030458C11Rik	0	1	1	1
6030468B19Rik	0	0	1	1
6030498E09Rik	0	0	0	0
6230400D17Rik	0	0	0	1
6330403K07Rik	1	1	1	1
6330407A03Rik	0	0	0	0
6330408A02Rik	0	0	0	0
6330409D20Rik	1	1	1	1
6330415G19Rik	1	1	1	1
6330418K02Rik	1	1	1	1
6330549D23Rik	0	1	1	1
6430548M08Rik	1	1	1	1
6430550D23Rik	0	0	0	0
6430562O15Rik	0	1	1	0
6430573F11Rik	0	0	0	0
6430706D22Rik	0	0	0	0
6720489N17Rik	1	1	1	1
6820408C15Rik	0	0	0	0
6820431F20Rik	0	0	0	0
8030462N17Rik	1	0	1	1
8430426J06Rik	0	0	0	0
8430429K09Rik	1	1	1	1
8430431K14Rik	0	0	0	0
9030025P20Rik	0	0	0	0
9030617O03Rik	0	0	0	1
9030624G23Rik	1	1	1	1
9030624J02Rik	1	1	1	1
9130008F23Rik	1	1	1	1
9130011E15Rik	1	1	1	1
9130019O22Rik	1	1	0	0
9130023H24Rik	1	1	1	1
9130024F11Rik	0	1	1	1
9130221H12Rik	0	0	0	0
9130401M01Rik	1	1	1	1
9230102O04Rik	1	1	1	1
9230105E05Rik	0	0	0	0
9230110C19Rik	1	1	1	1
9230114K14Rik	0	0	0	0
9230116N13Rik	0	0	0	0
9330020H09Rik	0	0	0	0
9330102E08Rik	0	0	0	0
9330133O14Rik	0	0	0	0
9330151L19Rik	1	1	1	1
9330159F19Rik	0	0	0	0
9330159M07Rik	1	1	1	1
9330182L06Rik	1	1	1	1
9430015G10Rik	1	1	1	1
9430018G01Rik	0	0	0	0
9430020K01Rik	0	0	0	0
9430038I01Rik	0	0	0	0
9430069I07Rik	0	0	0	0
9430091E24Rik	1	1	1	1
9530027J09Rik	1	1	1	1
9530053A07Rik	0	0	0	0
9530068E07Rik	1	1	1	1
9530077C05Rik	1	1	1	1
9530082P21Rik	0	0	0	0
9530091C08Rik	0	0	0	0
9630013A20Rik	0	0	0	0
9630013K17Rik	0	0	0	0
9930012K11Rik	1	1	1	1
9930014A18Rik	1	1	1	1
9930021J03Rik	1	1	1	1
9930104L06Rik	1	0	0	1
A130010J15Rik	1	1	1	1
A230050P20Rik	1	0	0	0
A230056P14Rik	0	0	0	0
A230072C01Rik	0	0	0	0
A230077H06Rik	0	0	0	0
A230103J11Rik	0	0	0	0
A2m	1	0	0	0
A330009N23Rik	0	0	0	0
A330023F24Rik	0	0	0	0
A330035P11Rik	0	0	0	0
A330069E16Rik	1	0	1	0
A330074K22Rik	0	0	0	0
A3galt2	0	0	0	0
A430005L14Rik	1	1	1	1
A430033K04Rik	1	1	1	1
A430046D13Rik	1	0	1	1
A430057M04Rik	1	1	1	1
A430090L17Rik	0	0	0	0
A4galt	1	1	0	0
A530016L24Rik	1	1	0	0
A630012P03Rik	0	0	0	0
A630066F11Rik	1	1	1	1
A630072M18Rik	0	1	1	0
A630089N07Rik	1	1	1	1
A730017L22Rik	0	0	0	0
A730036I17Rik	0	0	0	0
A830010M20Rik	0	0	0	0
A830018L16Rik	1	1	1	1
A830080D01Rik	1	1	1	1
A830082N09Rik	0	0	0	0
A930001C03Rik	0	0	1	0
A930004D18Rik	0	0	0	0
A930005H10Rik	1	1	1	1
A930006K02Rik	1	1	1	1
A930009A15Rik	0	0	0	0
A930012L18Rik	0	0	0	0
A930013F10Rik	0	0	0	0
A930015D03Rik	1	0	0	0
A930019D19Rik	1	1	1	1
A930024E05Rik	1	0	0	0
A930041C12Rik	0	0	0	0
AA413626	0	0	0	0
AA414768	0	0	0	0
AA465934	1	1	1	1
AA467197	1	0	0	1
AA543401	0	0	0	0
AA986860	1	1	1	1
Aaas	1	1	1	1
Aacs	1	1	1	1
Aaed1	1	1	1	1
Aagab	0	0	1	1
Aak1	0	1	0	0
Aamdc	0	1	0	0
Aamp	1	1	1	1
Aar2	1	0	0	1
Aard	1	1	1	1
Aars	1	1	1	1
Aars2	1	1	1	1
Aarsd1	1	0	0	1
Aasdh	1	1	1	1
Aasdhppt	0	0	0	0
Aass	1	1	1	0
Aatf	1	1	1	1
Aatk	0	1	1	1
Abat	1	1	1	1
Abca1	1	1	1	1
Abca2	1	1	1	1
Abca3	1	1	1	1
Abca4	0	0	1	0
Abca5	1	1	1	1
Abca7	1	1	1	1
Abcb10	1	1	1	1
Abcb1a	0	0	0	0
Abcb1b	1	1	1	1
Abcb6	1	1	1	1
Abcb7	1	1	1	1
Abcb8	1	1	1	1
Abcb9	1	1	1	1
Abcc1	1	1	1	1
Abcc10	1	1	1	1
Abcc4	1	1	1	1
Abcc5	1	1	1	1
Abcd1	1	1	0	1
Abcd2	1	1	1	1
Abcd3	1	1	1	1
Abcd4	1	1	1	1
Abce1	1	1	1	1
Abcf1	1	1	1	1
Abcf2	1	1	1	1
Abcf3	0	0	0	0
Abcg1	1	0	0	1
Abcg2	1	1	1	1
Abhd1	1	1	1	1
Abhd10	1	1	1	1
Abhd11	0	0	0	0
Abhd11os	0	0	0	0
Abhd12	1	1	1	1
Abhd13	1	1	1	1
Abhd14a	1	1	1	1
Abhd14b	1	0	0	0
Abhd15	1	1	1	1
Abhd16a	1	1	1	1
Abhd17a	1	1	1	1
Abhd17b	0	1	1	1
Abhd17c	1	1	1	1
Abhd18	1	1	1	1
Abhd2	1	1	1	1
Abhd4	1	1	1	1
Abhd5	1	1	1	1
Abhd6	1	0	0	0
Abhd8	1	1	1	1
Abi1	1	1	1	1
Abi2	1	1	1	1
Abi3	0	1	1	0
Abl1	1	1	1	1
Abl2	1	1	1	1
Ablim1	1	1	1	1
Abr	1	1	1	1
Abra	0	0	0	0
Abracl	1	1	1	1
Abt1	1	1	1	1
Abtb1	0	0	0	0
Abtb2	1	1	1	1
Acaa1a	1	1	1	1
Acaa1b	1	1	1	1
Acaa2	1	1	1	1
Acaca	0	0	0	0
Acacb	0	0	0	0
Acad10	0	0	0	0
Acad11	1	0	0	0
Acad12	1	0	1	1
Acad8	0	1	1	1
Acad9	1	1	1	1
Acadl	1	1	1	1
Acadm	0	0	0	0
Acads	1	1	1	1
Acadsb	0	0	0	0
Acadvl	1	1	1	1
Acan	0	0	0	0
Acap1	0	0	0	0
Acap2	1	1	1	1
Acap3	1	1	1	1
Acat1	1	1	1	1
Acat2	1	1	1	1
Acat3	1	0	0	0
Acbd3	1	1	1	1
Acbd4	1	1	1	0
Acbd5	1	1	1	1
Acbd6	1	1	1	1
Acbd7	0	0	0	0
Accs	1	1	1	1
Accsl	0	0	0	0
Acd	0	1	0	0
Ace	1	0	1	1
Acer2	1	1	1	1
Acer3	1	1	1	1
Ache	1	0	1	0
Acin1	1	1	1	1
Ackr1	0	1	1	1
Ackr3	1	1	1	1
Acly	1	1	1	1
Acmsd	0	0	0	0
Aco1	1	1	1	1
Aco2	0	0	0	0
Acot1	0	0	0	0
Acot11	1	0	1	1
Acot13	0	0	0	0
Acot2	1	1	1	1
Acot7	1	1	1	1
Acot8	0	0	0	0
Acot9	1	1	1	1
Acox1	1	0	0	0
Acox3	1	1	1	1
Acp1	0	0	0	0
Acp2	1	1	1	1
Acp5	1	0	0	0
Acp6	1	1	1	1
Acpt	0	0	0	0
Acr	0	0	0	0
Acrbp	0	0	0	0
Acsf2	1	1	1	1
Acsf3	1	1	0	0
Acsl1	1	1	1	1
Acsl3	1	1	1	1
Acsl4	1	1	1	1
Acsl5	1	1	1	1
Acsl6	1	0	0	0
Acss1	1	1	1	1
Acss2	1	1	1	1
Acta1	0	0	0	1
Acta2	0	1	0	0
Actb	1	1	1	1
Actc1	0	0	0	0
Actg1	0	0	0	0
Actg2	0	0	0	0
Actl10	1	0	1	1
Actl6a	1	1	1	1
Actl7a	0	0	0	0
Actl7b	0	0	0	0
Actn1	1	1	1	1
Actn2	1	1	1	1
Actn3	0	0	0	0
Actn4	1	1	1	1
Actr10	1	1	1	1
Actr1a	1	1	1	1
Actr1b	1	1	1	1
Actr2	1	1	1	1
Actr3	1	1	1	1
Actr3b	1	1	1	1
Actr5	1	1	1	1
Actr6	1	1	1	1
Actr8	1	1	1	1
Acvr1	0	0	1	1
Acvr1b	1	1	1	1
Acvr2a	1	1	1	1
Acvr2b	1	1	1	1
Acvrl1	0	0	0	0
Acy1	1	1	1	1
Acy3	1	0	0	0
Acyp1	1	1	1	1
Acyp2	1	1	1	1
Ada	1	1	1	1
Adad2	0	0	0	0
Adal	1	1	1	1
Adam10	1	1	1	1
Adam12	1	1	1	1
Adam15	1	0	0	0
Adam17	1	1	1	1
Adam19	1	1	1	1
Adam1a	0	0	0	0
Adam22	1	1	1	1
Adam23	1	1	1	1
Adam4	0	0	0	0
Adam8	1	0	0	0
Adam9	1	0	0	0
Adamts1	1	1	1	1
Adamts10	1	1	1	1
Adamts14	1	1	1	1
Adamts15	1	1	1	1
Adamts17	1	1	1	1
Adamts19	1	1	1	1
Adamts2	1	1	1	1
Adamts20	1	1	1	1
Adamts3	1	1	1	1
Adamts5	1	1	1	1
Adamts6	1	1	1	1
Adamts7	1	1	1	1
Adamts8	1	1	1	1
Adamts9	0	0	0	0
Adamtsl1	1	1	1	1
Adamtsl2	1	0	1	0
Adamtsl4	1	0	1	0
Adap1	0	0	0	1
Adap2	1	1	1	1
Adar	1	1	1	1
Adarb1	0	0	1	0
Adat1	1	1	1	1
Adat2	0	0	0	0
Adat3	0	0	0	0
Adck1	1	1	1	1
Adck2	1	1	1	1
Adck5	1	1	1	1
Adcy1	0	1	1	1
Adcy2	1	1	1	1
Adcy3	1	1	1	0
Adcy4	1	1	0	0
Adcy5	1	1	0	1
Adcy6	0	0	1	0
Adcy7	1	1	1	1
Adcy9	1	1	1	1
Adcyap1r1	1	0	1	0
Add1	1	1	1	1
Add2	1	0	0	0
Add3	1	1	1	1
Adgra2	0	0	0	0
Adgra3	1	1	1	1
Adgrb1	0	0	0	0
Adgrb2	0	0	0	0
Adgrd1	0	0	0	0
Adgre4	0	0	0	0
Adgre5	1	1	1	1
Adgrf5	0	0	0	0
Adgrg1	1	1	1	1
Adgrg3	0	0	0	0
Adgrg5	0	0	0	1
Adgrg6	1	1	1	1
Adgrl1	1	1	1	1
Adgrl2	0	0	0	0
Adgrl4	1	1	1	1
Adgrv1	1	1	1	1
Adh1	0	0	0	0
Adh5	1	1	1	1
Adi1	1	1	1	1
Adipor1	1	1	1	1
Adipor2	1	0	0	0
Adk	1	1	1	1
Adm	1	0	0	1
Adm2	1	0	0	0
Adnp	1	1	1	1
Adnp2	1	1	1	1
Ado	1	1	1	1
Adora1	1	1	0	0
Adora2a	1	1	1	1
Adora2b	1	1	1	1
Adpgk	1	1	1	1
Adprh	1	1	1	1
Adprhl2	1	1	1	1
Adprm	1	0	1	0
Adra2a	1	1	1	1
Adra2b	1	1	1	1
Adrb1	1	0	1	1
Adrb2	1	1	1	1
Adrb3	0	0	0	0
Adrbk1	0	0	0	0
Adrm1	1	1	1	1
Adsl	0	0	0	0
Adss	1	1	1	1
Adssl1	0	0	0	0
Aebp1	1	1	1	1
Aebp2	1	1	1	1
Aen	1	1	1	1
Aes	0	0	0	0
AF067061	0	0	0	0
AF357355	0	0	0	0
AF357359	0	0	0	0
AF357399	0	0	0	0
AF357425	0	0	0	0
AF357426	0	0	0	0
Afap1	1	1	1	1
Afap1l1	1	1	1	1
Afap1l2	1	1	1	0
Afdn	1	1	1	1
Aff1	1	1	1	1
Aff2	1	1	1	1
Aff3	1	1	1	1
Aff4	1	1	1	1
Afg3l1	1	1	1	1
Afg3l2	1	1	1	1
Afmid	1	1	1	0
Aftph	1	1	1	1
Aga	1	1	1	1
Agap1	1	1	1	1
Agap3	1	1	1	1
Agbl3	1	1	1	1
Agbl5	0	0	0	0
Ager	0	0	0	0
Agfg1	1	1	1	1
Agfg2	1	1	1	1
Aggf1	1	1	1	1
Agk	1	1	1	1
Agl	1	1	1	1
Ago1	1	1	1	1
Ago2	1	1	1	1
Ago3	1	1	1	1
Ago4	1	1	1	1
Agpat1	1	1	1	1
Agpat2	1	1	1	1
Agpat3	1	1	1	1
Agpat4	1	1	1	1
Agpat5	1	1	1	1
Agps	1	1	1	1
Agrn	1	1	1	1
Agrp	0	0	0	0
Agtpbp1	1	1	1	1
Agtrap	1	1	1	1
Ahctf1	1	1	1	1
Ahcy	1	1	1	1
Ahcyl1	0	0	0	0
Ahcyl2	1	1	1	1
Ahdc1	1	1	1	1
Ahi1	1	1	1	1
Ahnak	1	1	1	1
Ahr	1	1	1	1
Ahrr	1	1	1	1
Ahsa1	0	0	0	0
Ahsa2	1	1	1	1
AI314180	1	1	1	1
AI413582	1	1	1	1
AI429214	1	1	1	1
AI450353	0	0	0	0
AI464131	1	1	1	1
AI467606	1	0	1	1
AI504432	0	0	0	0
